Day,Date,Holiday Name,Type,Comments
Friday,Jan 01,New Year's Day,Regional Holiday,Several states
Saturday,Jan 02,New Year Celebration,Regional Holiday,Several states
Monday,Jan 04,Barahimizong,Regional Holiday,Sikkim
Monday,Jan 11,Missionary Day,Regional Holiday,Mizoram
Tuesday,Jan 12,Birthday of Swami Vivekananda,Regional Holiday,West Bengal only.
Wednesday,Jan 13,Bhogi,Regional Holiday,Some states
Wednesday,Jan 13,Makara Sankranti,Government Holiday,Some states
Thursday,Jan 14,Pongal,Regional Holiday,
Thursday,Jan 14,Sankranti,Regional Holiday,Several states
Friday,Jan 15,Tusu Puja,Regional Holiday,Assam only
Friday,Jan 15,Thiruvalluvar Day,Regional Holiday,"Puducherry, Tamil Nadu"
Friday,Jan 15,Kanuma,Government Holiday,Andhra Pradesh only
Saturday,Jan 16,Uzhavar Tirunal,Regional Holiday,Tamil Nadu
Wednesday,Jan 20,Guru Gobind Singh Jayanti,Regional Holiday,
Saturday,Jan 23,Netaji Subhas Chandra Bose Jayanti,Regional Holiday,"Assam, Odisha, Tripura, West Bengal"
Monday,Jan 25,Statehood Day,Regional Holiday,Himachal Pradesh only
Monday,Jan 25,Imoinu Iratpa,Regional Holiday,Manipur
Tuesday,Jan 26,Republic Day,Public Holiday,
Tuesday,Jan 26,Gann-Ngai,Regional Holiday,Manipur
Thursday,Jan 28,Thaipoosam,Regional Holiday,Several states
Sunday,Jan 31,Me-dam-me-phi,Regional Holiday,Assam
Friday,Feb 12,Sonam Lhosar,Regional Holiday,
Friday,Feb 12,Losar,Regional Holiday,Tibetan New Year
Monday,Feb 15,Lui-Ngai-Ni,Regional Holiday,Manipur
Tuesday,Feb 16,Vasant Panchami,Regional Holiday,Several states
Friday,Feb 19,Chahhtrapati Shivaji Maharaj Jayanti,Regional Holiday,Maharashtra only
Saturday,Feb 20,Mizoram State Day,Regional Holiday,Mizoram
Saturday,Feb 20,Statehood Day,Regional Holiday,Arunachal Pradesh
Friday,Feb 26,Imam Ali's Birthday,Regional Holiday,Uttar Pradesh only
Saturday,Feb 27,Bir Chilarai Divas,Regional Holiday,Assam
Saturday,Feb 27,Bhumchu Festival,Regional Holiday,Sikkim
Saturday,Feb 27,Guru Ravidas Jayanti,Regional Holiday,Several states.  Full moon of Magh
Friday,Mar 05,Chapchar Kut,Regional Holiday,Mizoram
Friday,Mar 05,Panchayati Raj Diwas,Regional Holiday,Odisha
Monday,Mar 08,International Women's Day,Not A Public Holiday,Telangana. Holiday for female employees
Thursday,Mar 11,Shab-I-Miraj,Regional Holiday,The Prophet's Ascension
Thursday,Mar 11,Maha Shivratri,Regional Holiday,Most states
Sunday,Mar 21,Nauroz,Regional Holiday,
Monday,Mar 22,Bihar Divas,Regional Holiday,Bihar Only
Tuesday,Mar 23,"Shaheedi Diwas of Bhagat Singh, Rajguru and Sukhdev",Regional Holiday,Haryana
Sunday,Mar 28,Holi Dahan,Regional Holiday,Day before Holi
Sunday,Mar 28,Doljatra,Regional Holiday,
Monday,Mar 29,Shab e-Barat,Government Holiday,15 Sha'aban
Monday,Mar 29,Shab e-Barat,Regional Holiday,15 Sha'aban
Monday,Mar 29,Holi,Regional Holiday,
Monday,Mar 29,Yaosang 2nd Day,Regional Holiday,Manipur
Monday,Mar 29,Holi,Government Holiday,
Tuesday,Mar 30,Holi Holiday,Regional Holiday,
Thursday,Apr 01,Bank Holiday,Not A Public Holiday,Banks only. Annual accounts closing
Thursday,Apr 01,Odisha Day,Regional Holiday,Odisha
Friday,Apr 02,Good Friday,Regional Holiday,
Sunday,Apr 04,Easter Sunday,Regional Holiday,
Monday,Apr 05,Babu Jagjivan Ram Birthday,Regional Holiday,"Andhra Pradesh, Telangana only"
Monday,Apr 05,Babu Jagjivan Ram Birthday,Government Holiday,"Andhra Pradesh, Telangana only"
Thursday,Apr 08,Birthday of Sri Guru Nabha Dass Ji,Regional Holiday,Punjab
Tuesday,Apr 13,Cheti Chand,Regional Holiday,
Tuesday,Apr 13,Sajibu Nongma Panba,Regional Holiday,Manipur
Tuesday,Apr 13,1st Navratra,Regional Holiday,Jammu and Kashmir
Tuesday,Apr 13,Gudi Padwa,Regional Holiday,
Tuesday,Apr 13,Ugadi,Regional Holiday,Telugu and Kannada New Year
Tuesday,Apr 13,Vaisakhi,Regional Holiday,several states
Wednesday,Apr 14,Vishu,Regional Holiday,Kerala Only
Wednesday,Apr 14,Cheiraoba,Regional Holiday,Manipur
Wednesday,Apr 14,Tamil New Year,Regional Holiday,"Puthandu. Puducherry, Tamil Nadu"
Wednesday,Apr 14,Biju Festival,Regional Holiday,Tripura
